5781 : 45.00 cm | S4: 0.00 cm

5909 : LDir:  | LCount: 0 | RDir:  | RCount: 0
34613 : S1: 79.00 cm | S2: 16.00 cm | S3: 83.00 cm | S4: 0.00 cm

34734 : LDir:  | LCount: 0 | RDir:  | RCount: 0

34787 : S1: 79.00 cm | S2: 16.00 cm | S3: 96.00 cm | S4: 0.00 cm

34909 : LDir:  | LCount: 0 | RDir:  | RCount: 0

34991 : S1: 78.00 cm | S2: 16.00 cm | S3: 95.00 cm | S4: 0.00 cm

35094 : LDir:  | LCount: 0 | RDir:  | RCount: 0

35172 : S1: 77.00 cm | S2: 17.00 cm | S3: 94.00 cm | S4: 0.00 cm

35269 : LDir:  | LCount: 0 | RDir:  | RCount: 0

35353 : S1: 77.00 cm | S2: 16.00 cm | S3: 95.00 cm | S4: 0.00 cm

35457 : LDir:  | LCount: 0 | RDir:  | RCount: 0

35537 : S1: 78.00 cm | S2: 16.00 cm | S3: 95.00 cm | S4: 0.00 cm

35633 : LDir:  | LCount: 0 | RDir:  | RCount: 0

35719 : S1: 77.00 cm | S2: 16.00 cm | S3: 95.00 cm | S4: 0.00 cm

