6202 : LDir:  | LCount: 0 | RDir:  | RCount: 0
15880 : S1: 0.00 cm | S2: 42.00 cm | S3: 0.00 cm | S4: 60.00 cm

15881 : Control F
15981 : LDir:  | LCount: 0 | RDir:  | RCount: 0

16065 : S1: 0.00 cm | S2: 42.00 cm | S3: 0.00 cm | S4: 59.00 cm

16166 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -6

16248 : S1: 0.00 cm | S2: 44.00 cm | S3: 0.00 cm | S4: 59.00 cm

16348 : LDir:  | LCount: 0 | RDir: CCW | RCount: -1

16427 : S1: 0.00 cm | S2: 43.00 cm | S3: 0.00 cm | S4: 60.00 cm

16428 : Control F
16428 : Control F
16428 : Control F
16445 : Control F
16479 : Control F
16521 : LDir:  | LCount: 0 | RDir:  | RCount: 0

16522 : Control F
16540 : Control F
16600 : S1: 0.00 cm | S2: 43.00 cm | S3: 0.00 cm | S4: 60.00 cm

16600 : Control F
16600 : Control F
16635 : Control F
16669 : Control F
16713 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -6

16794 : S1: 0.00 cm | S2: 41.00 cm | S3: 0.00 cm | S4: 60.00 cm

16794 : Control F
16794 : Control F
16794 : Control F
16794 : Control F
16813 : Control F
16846 : Control F
16895 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -6

16972 : S1: 0.00 cm | S2: 44.00 cm | S3: 0.00 cm | S4: 60.00 cm

16972 : Control F
16972 : Control F
16972 : Control F
16972 : Control F
16990 : Control F
17023 : Control F
17090 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -6

17141 : S1: 0.00 cm | S2: 42.00 cm | S3: 0.00 cm | S4: 62.00 cm

17141 : Control F
17141 : Control F
17141 : Control F
17141 : Control F
17176 : Control F
17193 : Control R
17272 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -7

17322 : S1: 0.00 cm | S2: 41.00 cm | S3: 0.00 cm | S4: 64.00 cm

17446 : LDir: CW | LCount: 6 | RDir: CW | RCount: 0

17496 : S1: 0.00 cm | S2: 41.00 cm | S3: 0.00 cm | S4: 64.00 cm

17619 : LDir: CW | LCount: 1 | RDir: CW | RCount: 1

17701 : S1: 0.00 cm | S2: 36.00 cm | S3: 0.00 cm | S4: 64.00 cm

17798 : LDir:  | LCount: 0 | RDir:  | RCount: 0

17876 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 64.00 cm

17975 : LDir:  | LCount: 0 | RDir:  | RCount: 0

18060 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 64.00 cm

18061 : Control F
18160 : LDir:  | LCount: 0 | RDir:  | RCount: 0

18243 : S1: 0.00 cm | S2: 36.00 cm | S3: 0.00 cm | S4: 64.00 cm

18346 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -6

18420 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 64.00 cm

18527 : LDir:  | LCount: 0 | RDir: CCW | RCount: -1

18607 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 64.00 cm

18607 : Control F
18607 : Control F
18607 : Control F
18642 : Control F
18675 : Control F
18716 : LDir:  | LCount: 0 | RDir:  | RCount: 0

18716 : Control F
18762 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 64.00 cm

18763 : Control F
18763 : Control F
18797 : Control F
18830 : Control F
18864 : Control F
18914 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -6

18963 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 65.00 cm

18963 : Control F
18963 : Control F
18963 : Control F
18981 : Control F
19015 : Control F
19097 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -7

19145 : S1: 0.00 cm | S2: 37.00 cm | S3: 0.00 cm | S4: 64.00 cm

19146 : Control F
19146 : Control F
19146 : Control F
19146 : Control F
19163 : Control F
19197 : Control F
19277 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -7

19320 : S1: 0.00 cm | S2: 38.00 cm | S3: 0.00 cm | S4: 64.00 cm

19321 : Control F
19321 : Control F
19321 : Control F
19321 : Control F
19338 : Control F
19372 : Control F
19405 : Control F
19451 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -7

19499 : S1: 0.00 cm | S2: 38.00 cm | S3: 0.00 cm | S4: 65.00 cm

19499 : Control F
19499 : Control F
19499 : Control F
19534 : Control F
19551 : Control F
19584 : Control F
19628 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -6

19674 : S1: 0.00 cm | S2: 35.00 cm | S3: 0.00 cm | S4: 65.00 cm

19674 : Control F
19675 : Control F
19675 : Control F
19709 : Control F
19742 : Control F
19822 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -7

19870 : S1: 0.00 cm | S2: 41.00 cm | S3: 0.00 cm | S4: 64.00 cm

19871 : Control F
19871 : Control F
19871 : Control F
19871 : Control F
19889 : Control F
19922 : Control F
20005 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -6

20061 : S1: 0.00 cm | S2: 83.00 cm | S3: 0.00 cm | S4: 51.00 cm

20061 : Control F
20062 : Control F
20062 : Control F
20062 : Control F
20080 : Control F
20096 : Control F
20130 : Control F
20180 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -5

20226 : S1: 0.00 cm | S2: 43.00 cm | S3: 77.00 cm | S4: 49.00 cm

20227 : Control F
20227 : Control F
20227 : Control F
20245 : Control F
20278 : Control F
20311 : Control F
20356 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -4

20400 : S1: 0.00 cm | S2: 43.00 cm | S3: 83.00 cm | S4: 50.00 cm

20401 : Control F
20401 : Control F
20401 : Control F
20436 : Control F
20469 : Control F
20547 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -5

20591 : S1: 0.00 cm | S2: 78.00 cm | S3: 84.00 cm | S4: 50.00 cm

20592 : Control F
20592 : Control F
20592 : Control F
20592 : Control F
20609 : Control F
20643 : Control F
20676 : Control F
20718 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -5

20796 : S1: 0.00 cm | S2: 76.00 cm | S3: 88.00 cm | S4: 49.00 cm

20797 : Control F
20797 : Control F
20797 : Control F
20797 : Control F
20831 : Control F
20911 : LDir: CCW | LCount: 3 | RDir: CCW | RCount: -5

20962 : S1: 0.00 cm | S2: 73.00 cm | S3: 94.00 cm | S4: 49.00 cm

20962 : Control F
20962 : Control F
20962 : Control F
20962 : Control F
20980 : Control F
21013 : Control F
21089 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -5

21134 : S1: 0.00 cm | S2: 71.00 cm | S3: 0.00 cm | S4: 48.00 cm

21135 : Control F
21135 : Control F
21135 : Control F
21135 : Control F
21169 : Control F
21185 : Control F
21219 : Control F
21268 : LDir: CCW | LCount: 0 | RDir: CCW | RCount: -4

21312 : S1: 0.00 cm | S2: 71.00 cm | S3: 0.00 cm | S4: 47.00 cm

21312 : Control F
21312 : Control F
21313 : Control F
21347 : Control F
21381 : Control F
21456 : LDir:  | LCount: 0 | RDir: CCW | RCount: -6

21503 : S1: 0.00 cm | S2: 73.00 cm | S3: 0.00 cm | S4: 47.00 cm

21504 : Control F
21504 : Control F
21504 : Control F
21504 : Control F
21521 : Control F
21572 : Control F
21620 : LDir:  | LCount: 0 | RDir: CCW | RCount: -5

21667 : S1: 0.00 cm | S2: 73.00 cm | S3: 0.00 cm | S4: 49.00 cm

21667 : Control F
21667 : Control F
21667 : Control F
21685 : Control F
21701 : Control F
21735 : Control F
21819 : LDir:  | LCount: 0 | RDir: CCW | RCount: -6

21874 : S1: 0.00 cm | S2: 64.00 cm | S3: 0.00 cm | S4: 0.00 cm

21875 : Control F
21875 : Control F
21875 : Control F
21875 : Control F
21892 : Control F
21926 : Control F
21975 : LDir:  | LCount: 0 | RDir: CCW | RCount: -5

22056 : S1: 0.00 cm | S2: 64.00 cm | S3: 0.00 cm | S4: 0.00 cm

22056 : Control F
22158 : LDir:  | LCount: 0 | RDir: CCW | RCount: -5

22237 : S1: 0.00 cm | S2: 64.00 cm | S3: 59.00 cm | S4: 0.00 cm

22340 : LDir:  | LCount: 0 | RDir: CCW | RCount: -5

22420 : S1: 0.00 cm | S2: 67.00 cm | S3: 61.00 cm | S4: 0.00 cm

22522 : LDir:  | LCount: 0 | RDir:  | RCount: 0

22599 : S1: 0.00 cm | S2: 65.00 cm | S3: 58.00 cm | S4: 0.00 cm

22703 : LDir:  | LCount: 0 | RDir:  | RCount: 0

22781 : S1: 0.00 cm | S2: 67.00 cm | S3: 58.00 cm | S4: 0.00 cm

22878 : LDir:  | LCount: 0 | RDir:  | RCount: 0

22955 : S1: 0.00 cm | S2: 66.00 cm | S3: 58.00 cm | S4: 0.00 cm

23087 : LDir: CCW | LCount: -1 | RDir:  | RCount: 0

23137 : S1: 0.00 cm | S2: 65.00 cm | S3: 57.00 cm | S4: 0.00 cm

23262 : LDir: CW | LCount: -5 | RDir:  | RCount: 0

23305 : S1: 0.00 cm | S2: 67.00 cm | S3: 49.00 cm | S4: 0.00 cm

23428 : LDir: CCW | LCount: -6 | RDir:  | RCount: 0

23506 : S1: 0.00 cm | S2: 0.00 cm | S3: 44.00 cm | S4: 0.00 cm

23609 : LDir: CCW | LCount: -6 | RDir:  | RCount: 0

23687 : S1: 0.00 cm | S2: 93.00 cm | S3: 42.00 cm | S4: 0.00 cm

23788 : LDir: CW | LCount: -3 | RDir:  | RCount: 0

23862 : S1: 0.00 cm | S2: 0.00 cm | S3: 41.00 cm | S4: 0.00 cm

23996 : LDir: CCW | LCount: -4 | RDir:  | RCount: 0

24045 : S1: 78.00 cm | S2: 0.00 cm | S3: 39.00 cm | S4: 0.00 cm

24143 : LDir:  | LCount: 0 | RDir:  | RCount: 0

24227 : S1: 79.00 cm | S2: 0.00 cm | S3: 39.00 cm | S4: 0.00 cm

24327 : LDir:  | LCount: 0 | RDir:  | RCount: 0

24416 : S1: 78.00 cm | S2: 0.00 cm | S3: 40.00 cm | S4: 0.00 cm

24513 : LDir:  | LCount: 0 | RDir:  | RCount: 0

24596 : S1: 79.00 cm | S2: 0.00 cm | S3: 39.00 cm | S4: 0.00 cm

24690 : LDir:  | LCount: 0 | RDir:  | RCount: 0

24778 : S1: 79.00 cm | S2: 0.00 cm | S3: 40.00 cm | S4: 0.00 cm

24875 : LDir:  | LCount: 0 | RDir:  | RCount: 0

24958 : S1: 79.00 cm | S2: 0.00 cm | S3: 40.00 cm | S4: 0.00 cm

25058 : LDir:  | LCount: 0 | RDir:  | RCount: 0

25128 : S1: 79.00 cm | S2: 0.00 cm | S3: 40.00 cm | S4: 0.00 cm

25252 : LDir:  | LCount: 0 | RDir:  | RCount: 0

25297 : S1: 79.00 cm | S2: 0.00 cm | S3: 40.00 cm | S4: 0.00 cm

25419 : LDir:  | LCount: 0 | RDir:  | RCount: 0

25502 : S1: 80.00 cm | S2: 0.00 cm | S3: 40.00 cm | S4: 0.00 cm

25599 : LDir:  | LCount: 0 | RDir:  | RCount: 0

25676 : S1: 79.00 cm | S2: 0.00 cm | S3: 40.00 cm | S4: 0.00 cm

25774 : LDir:  | LCount: 0 | RDir:  | RCount: 0

25863 : S1: 80.00 cm | S2: 0.00 cm | S3: 40.00 cm | S4: 0.00 cm

25960 : LDir:  | LCount: 0 | RDir:  | RCount: 0

26020 : S1: 78.00 cm | S2: 0.00 cm | S3: 40.00 cm | S4: 0.00 cm

26143 : LDir:  | LCount: 0 | RDir:  | RCount: 0

26224 : S1: 79.00 cm | S2: 0.00 cm | S3: 39.00 cm | S4: 0.00 cm

26322 : LDir:  | LCount: 0 |
