2354 : 4: 0.00 cm

2420 : LDir:  | LCount: 0 | RDir:  | RCount: 0
14809 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

14948 : LDir: CW | LCount: -3 | RDir: CW | RCount: 6

15001 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

15116 : LDir: CW | LCount: -3 | RDir: CCW | RCount: 3

15174 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

15303 : LDir: CCW | LCount: -7 | RDir: CW | RCount: 6

15351 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

15482 : LDir: CW | LCount: -2 | RDir: CW | RCount: 8

15547 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

15682 : LDir: CCW | LCount: -8 | RDir: CW | RCount: 6

15733 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

15864 : LDir: CCW | LCount: -6 | RDir: CW | RCount: 8

15909 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

16046 : LDir: CW | LCount: -1 | RDir: CW | RCount: 9

16098 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

16203 : LDir: CCW | LCount: -6 | RDir: CW | RCount: 7

16257 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

16388 : LDir: CCW | LCount: -1 | RDir: CW | RCount: 1

16447 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

16580 : LDir:  | LCount: 0 | RDir:  | RCount: 0

16637 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

16771 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -4

16829 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

16930 : LDir: CW | LCount: 1 | RDir: CW | RCount: 1

17010 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

17122 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -4

17192 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

17295 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -6

17351 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

17517 : LDir: CW | LCount: 8 | RDir: CW | RCount: -3

17531 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

17661 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -6

17717 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

17863 : LDir: CW | LCount: 9 | RDir: CCW | RCount: -9

17913 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

18026 : LDir: CW | LCount: 8 | RDir: CCW | RCount: -6

18077 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

18221 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -8

18267 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

18395 : LDir: CCW | LCount: -6 | RDir: CCW | RCount: -8

18448 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

18566 : LDir: CCW | LCount: -1 | RDir:  | RCount: 0

18640 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

18767 : LDir: CW | LCount: -2 | RDir: CCW | RCount: -4

18819 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

18954 : LDir: CW | LCount: -4 | RDir: CCW | RCount: -7

19007 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

19111 : LDir: CCW | LCount: -6 | RDir: CCW | RCount: -8

19164 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

19296 : LDir: CW | LCount: -6 | RDir: CW | RCount: -3

19347 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

19477 : LDir: CCW | LCount: -7 | RDir: CCW | RCount: -6

19523 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

19651 : LDir: CCW | LCount: -6 | RDir: CCW | RCount: -8

19735 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

19838 : LDir: CCW | LCount: -1 | RDir: CCW | RCount: -1

19901 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

20036 : LDir: CW | LCount: 1 | RDir:  | RCount: 0

20093 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

20195 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -4

20251 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

20400 : LDir:  | LCount: 0 | RDir: CCW | RCount: -1

20456 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

20578 : LDir: CW | LCount: 3 | RDir: CCW | RCount: -4

20625 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

20760 : LDir: CW | LCount: 6 | RDir: CCW | RCount: -8

20804 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

20935 : LDir: CW | LCount: 9 | RDir: CCW | RCount: -9

20983 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

21119 : LDir: CW | LCount: 7 | RDir: CW | RCount: -2

21184 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

21292 : LDir: CW | LCount: 4 | RDir: CCW | RCount: -3

21343 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

21478 : LDir: CW | LCount: -2 | RDir: CW | RCount: 4

21555 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

21669 : LDir:  | LCount: 0 | RDir: CW | RCount: 1

21719 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

21822 : LDir:  | LCount: 0 | RDir:  | RCount: 0

21907 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

22020 : LDir: CCW | LCount: -5 | RDir: CW | RCount: 6

22067 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

22200 : LDir: CW | LCount: 0 | RDir: CW | RCount: 6

22249 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

22382 : LDir: CCW | LCount: -6 | RDir: CW | RCount: 8

22433 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

22575 : LDir: CCW | LCount: -9 | RDir: CW | RCount: 8

22626 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

22759 : LDir: CCW | LCount: -6 | RDir: CW | RCount: 8

22813 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

22916 : LDir: CW | LCount: 2 | RDir: CW | RCount: 8

22970 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

23097 : LDir: CW | LCount: 3 | RDir: CW | RCount: 2

23154 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

23283 : LDir:  | LCount: 0 | RDir:  | RCount: 0

23335 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

23466 : LDir: CW | LCount: 5 | RDir: CW | RCount: 7

