2523 : 0.00 cm | S4: 0.00 cm

2626 : LDir:  | LCount: 0 | RDir:  | RCount: 0
14574 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14658 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

14786 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14832 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

14933 : LDir:  | LCount: 0 | RDir:  | RCount: 0

15020 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

15117 : LDir:  | LCount: 0 | RDir:  | RCount: 0

15194 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

15292 : LDir:  | LCount: 0 | RDir:  | RCount: 0

15374 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

15503 : LDir:  | LCount: 0 | RDir:  | RCount: 0

15551 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

15656 : LDir:  | LCount: 0 | RDir:  | RCount: 0

15737 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

15833 : LDir:  | LCount: 0 | RDir:  | RCount: 0

15910 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

16035 : LDir:  | LCount: 0 | RDir:  | RCount: 0

16084 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

16217 : LDir:  | LCount: 0 | RDir:  | RCount: 0

16269 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

16398 : LDir:  | LCount: 0 | RDir:  | RCount: 0

16451 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

16575 : LDir:  | LCount: 0 | RDir:  | RCount: 0

16625 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

16748 : LDir:  | LCount: 0 | RDir:  | RCount: 0

16832 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

16927 : LDir:  | LCount: 0 | RDir:  | RCount: 0

16986 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

17115 : LDir:  | LCount: 0 | RDir:  | RCount: 0

17193 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

17289 : LDir:  | LCount: 0 | RDir:  | RCount: 0

17362 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

17496 : LDir:  | LCount: 0 | RDir:  | RCount: 0

17548 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

17658 : LDir:  | LCount: 0 | RDir:  | RCount: 0

17735 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

17836 : LDir:  | LCount: 0 | RDir:  | RCount: 0

17911 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

18008 : LDir:  | LCount: 0 | RDir:  | RCount: 0

18089 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

18227 : LDir:  | LCount: 0 | RDir:  | RCount: 0

18258 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

18380 : LDir:  | LCount: 0 | RDir:  | RCount: 0

18461 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

18560 : LDir:  | LCount: 0 | RDir:  | RCount: 0

18645 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

